epoch,train_loss,train_iou,val_loss,val_iou
1,0.7995132184028626,0.41858632266521456,0.2574142515659332,0.5696405470371246
2,0.6734386765956879,0.4879453361034393,0.20101378858089447,0.645718902349472
3,0.6110187566280365,0.5248459208011628,0.20724652707576752,0.6585375964641571
4,0.6251686847209931,0.5135149979591369,0.19755789637565613,0.6604457944631577
5,0.5708045649528504,0.5496420526504516,0.19482026994228363,0.6657864153385162
6,0.5668794536590576,0.550693541765213,0.18608388304710388,0.673622339963913
7,0.586902049779892,0.5365693378448486,0.1930524706840515,0.6712452173233032
8,0.5380557096004486,0.5688742983341217,0.1784309297800064,0.6995401233434677
9,0.5533876538276672,0.559432007074356,0.19087201356887817,0.6760972440242767
10,0.5669867241382599,0.5499669909477234,0.1866147816181183,0.6775130033493042
11,0.5019948780536652,0.5919520366191864,0.18531370162963867,0.6862645447254181
12,0.5275734698772431,0.5754684329032898,0.18558649718761444,0.6843247711658478
13,0.5236309516429901,0.5778521561622619,0.19025865197181702,0.6776355654001236
14,0.5466053998470306,0.5628299307823181,0.18184679746627808,0.6891280114650726
15,0.5077319502830505,0.5897988879680633,0.17949137091636658,0.692145824432373
16,0.5121246373653412,0.5852462518215179,0.1842755824327469,0.6856824308633804
17,0.47956079840660093,0.6080959594249725,0.18188320100307465,0.6900927424430847
18,0.5381871783733367,0.5686848831176757,0.18020078539848328,0.6924590021371841
19,0.5623901414871216,0.5514836466312408,0.1795998364686966,0.6910027265548706
20,0.4912596893310547,0.6013260817527771,0.18625710904598236,0.6853102743625641
21,0.5042010188102722,0.5904338526725769,0.1839507669210434,0.687805101275444
22,0.46216424226760866,0.6199007368087769,0.18239323794841766,0.6887834966182709
23,0.5255688464641571,0.5751065003871918,0.17937646806240082,0.6936597973108292
24,0.4543986415863037,0.6245020067691803,0.179444819688797,0.6933772414922714
25,0.4931586182117462,0.5991876983642578,0.18391983211040497,0.6850290447473526
26,0.4790427219867706,0.6067417860031128,0.1835208535194397,0.6880164742469788
27,0.46935358285903933,0.6153450047969818,0.18260851502418518,0.6900200545787811
28,0.5059217822551727,0.5903127098083496,0.17916816473007202,0.6921077221632004
29,0.4660025429725647,0.6165957367420196,0.18411867320537567,0.6844831854104996
30,0.5136024117469787,0.5854798245429993,0.1808236837387085,0.6885616332292557
31,0.468298534154892,0.616311194896698,0.18143969774246216,0.6903926730155945
32,0.48987479209899903,0.6002175784111023,0.18107254803180695,0.6915071457624435
33,0.5095033466815948,0.5879433321952819,0.181280255317688,0.6894620209932327
