epoch,train_loss,train_iou,val_loss,val_iou
1,0.7893431515693664,0.37874480937421323,0.7277722918987274,0.5351716297864914
2,0.7149102239608764,0.5354938685894013,0.6675125133991241,0.5513453233242035
3,0.6409348821640015,0.5962230023145676,0.596795688867569,0.594898527264595
4,0.5491021754741668,0.6450087189674377,0.4944289004802704,0.6483045613765717
5,0.45691007328033445,0.6753328868150711,0.41171542286872864,0.6654830253124238
6,0.37362005400657655,0.7016194748878479,0.3438111424446106,0.6696858036518097
7,0.3063588404655457,0.7221231365203857,0.2970880007743835,0.6807983231544494
8,0.2595961000919342,0.7337982318401337,0.26716113805770875,0.6929583144187927
9,0.22411525774002075,0.7478727958202362,0.24665257930755616,0.6879926574230194
10,0.19998088526725769,0.7549676744937897,0.23003624081611634,0.6934502005577088
11,0.17768643283843993,0.768863667011261,0.22119954586029053,0.68877978682518
12,0.16215592861175537,0.7768900668621064,0.21378312945365907,0.6835451889038086
13,0.15229555320739746,0.7812513370513916,0.19735443949699402,0.7000834608078003
14,0.1416461911201477,0.7893416581153869,0.19950257062911989,0.6875333261489868
15,0.13749928116798402,0.7886883046627045,0.1934779989719391,0.6931899154186248
16,0.1276559386253357,0.7994124703407287,0.1951194703578949,0.6889076364040375
17,0.12492920517921448,0.7996852071285248,0.1858441388607025,0.6990755665302276
18,0.12071507143974304,0.8030109694004058,0.19039135098457335,0.6941774487495422
19,0.11483682703971863,0.8096476888656616,0.18624334216117858,0.6950039339065551
20,0.11458071374893189,0.8079464371204377,0.1919286334514618,0.6896197617053985
21,0.11149555587768555,0.8109657294750213,0.18535282254219054,0.6919030725955964
22,0.11033008050918579,0.8111942868232727,0.18590685844421387,0.6912013101577759
23,0.10415762495994568,0.8199958715438843,0.1820889401435852,0.702916750907898
24,0.10346228575706481,0.8198971719741821,0.18396575808525084,0.6943680417537689
25,0.10277211260795593,0.8201640629768372,0.17553595423698426,0.7052805066108704
26,0.10223911452293397,0.8202715559005738,0.1795462691783905,0.6974343812465668
27,0.09970983457565308,0.8238737869262696,0.1736144554615021,0.7024425590038299
28,0.09783480954170228,0.8263254284858703,0.19113220810890197,0.6840830218791961
29,0.09708201050758362,0.8270739221572876,0.1746273684501648,0.7043909454345703
30,0.0959470579624176,0.8284712216854095,0.1868740725517273,0.6894360136985779
31,0.09698184108734131,0.8263948695659638,0.1788474726676941,0.6997416293621064
32,0.08831272625923156,0.8406540200710296,0.16864299654960632,0.711735895872116
33,0.08646883726119996,0.8437263400554657,0.171729975938797,0.707939327955246
34,0.08374520444869996,0.8482147328853608,0.1718535304069519,0.7075021493434906
35,0.08396154117584229,0.8477931745052337,0.17637452125549316,0.7029427778720856
36,0.08224032974243164,0.8506356317996979,0.1707518517971039,0.7074753737449646
37,0.08074471855163574,0.8530928328037262,0.1700807011127472,0.7086029756069183
38,0.08046127009391785,0.8535308828353881,0.16970959305763245,0.708305070400238
39,0.08006066870689392,0.8542099478244781,0.1692413556575775,0.7091191637516022
40,0.08107347178459168,0.8525217680931091,0.1693076741695404,0.7086839926242828
