epoch,train_loss,train_iou,val_loss,val_iou
1,0.5624831750392913,0.47791850730776786,0.34375357031822207,0.5487205946445465
2,0.27089347434043887,0.606928628206253,0.2632669687271118,0.5947442042827606
3,0.2349184021949768,0.6312076233625412,0.23620373129844666,0.6169778263568878
4,0.22083337664604186,0.6461551991701127,0.22687745928764344,0.6312618899345398
5,0.2119337294101715,0.6561673568487167,0.21596726775169373,0.6413107645511628
6,0.2058009374141693,0.6631013922691346,0.2151637542247772,0.6434367895126343
7,0.19876788997650147,0.6726374084949494,0.21638752460479738,0.6352503287792206
8,0.19528943490982056,0.6770760173797608,0.216195787191391,0.6441804873943329
9,0.19381983590126037,0.6789738743305206,0.21144109725952148,0.6497668075561523
10,0.18670104694366454,0.6885227222442627,0.22923086524009706,0.6265536057949066
11,0.18311502504348756,0.6935940487384796,0.21489718198776245,0.6464007127285004
12,0.1792285921573639,0.699103931427002,0.21062556266784668,0.649579336643219
13,0.18124007391929625,0.696187436580658,0.20252568364143372,0.6602906513214112
14,0.17355272150039672,0.7069689526557922,0.2040661644935608,0.6605975031852722
15,0.17435724115371704,0.7056660063266754,0.2095031225681305,0.6546871089935302
16,0.1702196364402771,0.7118492168188095,0.20582984447479247,0.6589565229415894
17,0.16684531593322754,0.7163774020671845,0.22759982347488403,0.6298485517501831
18,0.16906075286865235,0.713224324464798,0.21051108479499817,0.6540850591659546
19,0.16235150694847106,0.7229414801597596,0.20088913679122924,0.6636344754695892
20,0.1597419447898865,0.7268368976116181,0.2123507332801819,0.6523887407779694
21,0.15754034161567687,0.7301097049713134,0.20583336114883422,0.657432587146759
22,0.15753595781326293,0.7298624210357666,0.21288217902183532,0.6533857238292694
23,0.15466606163978577,0.7342855031490326,0.2026841151714325,0.6642149960994721
24,0.15163423919677735,0.7387202122211456,0.2160992741584778,0.642296109199524
25,0.1490043942928314,0.7422932336330413,0.1987861454486847,0.6691809487342835
26,0.14817686295509339,0.7435300710201264,0.20135443091392516,0.6661723494529724
27,0.14567656564712525,0.7476328258514404,0.20201459169387817,0.6643041789531707
28,0.14360110449790955,0.7507661242485046,0.20830047845840455,0.6544148337841034
29,0.1416254279613495,0.7536071898937226,0.20686842918395995,0.6592492079734802
30,0.14184508395195009,0.7533710401058197,0.2043855082988739,0.6586378228664398
31,0.13846891236305237,0.7583266417980195,0.1951587212085724,0.6743591070175171
32,0.1388050413131714,0.7579668202400207,0.20285913109779358,0.6647340250015259
33,0.1360875642299652,0.7621962013244629,0.22498085379600524,0.63209776699543
34,0.13428516459465026,0.7647896959781647,0.20079756021499634,0.6639165246486664
35,0.13323636412620543,0.7664079852104188,0.2054774594306946,0.6560040819644928
36,0.13057717752456666,0.7704441494941712,0.200236656665802,0.6653654599189758
37,0.13107920956611632,0.7698253464698791,0.21004530787467957,0.6527646541595459
38,0.1225977475643158,0.7829502620697022,0.20031186938285828,0.6672749829292297
39,0.11878227996826173,0.788877028465271,0.20064206480979918,0.6667334747314453
40,0.11897278237342834,0.7886994566917419,0.19783692359924315,0.6713996982574463
41,0.11600763416290283,0.7935395402908325,0.20265794515609742,0.6648417556285858
42,0.1148067581653595,0.7952298128604889,0.2003116190433502,0.6668510329723358
43,0.11490575242042542,0.7950406141281128,0.20154309153556824,0.6618421471118927
44,0.11266878628730774,0.7988070991039277,0.19730517864227295,0.6694038677215576
45,0.10969290518760681,0.8034384355545044,0.19963345170021057,0.6677598595619202
46,0.11224525833129882,0.7995305976867676,0.19834906578063966,0.6682222259044647
47,0.10978722047805786,0.8033537318706513,0.20303983926773073,0.6624433088302613
48,0.11016071796417236,0.802853274345398,0.19903908252716065,0.6684763872623444
49,0.10928016257286072,0.8041452391147613,0.20053292274475099,0.6652018022537232
50,0.1089018588066101,0.8046993732452392,0.19962806463241578,0.6664809036254883
51,0.10822501826286315,0.8058977017402649,0.1992567801475525,0.6679272675514221
52,0.10742544174194336,0.8069264972209931,0.20048680067062377,0.6656949377059936
53,0.10693895316123962,0.8079804048538208,0.1988757073879242,0.6683069550991059
54,0.10834582448005677,0.805715790271759,0.20090147495269775,0.6651919686794281
55,0.10852737879753113,0.8051905515193939,0.20052097201347352,0.6651737153530121
56,0.10775180149078369,0.8065441303253174,0.2001229739189148,0.6658301484584809
