epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.159,1.68952,1.65833,1.53854,0.2936,0.29094,0.20499,0.05437,2.56253,2.15355,2.08734,0.0005941,0.0005941,0.0005941
43,436.13,1.6639,1.63905,1.52188,0.28694,0.3424,0.20669,0.06083,2.58798,2.07406,2.07203,0.0005842,0.0005842,0.0005842
44,446.163,1.68567,1.61268,1.53136,0.27417,0.30284,0.17718,0.04706,2.61475,2.23297,2.16597,0.0005743,0.0005743,0.0005743
45,455.945,1.68083,1.59835,1.52128,0.33067,0.33943,0.24223,0.07119,2.47307,2.11705,2.00008,0.0005644,0.0005644,0.0005644
46,465.6,1.6462,1.59637,1.51129,0.34111,0.35956,0.23708,0.06718,2.53588,2.08164,2.08084,0.0005545,0.0005545,0.0005545
47,475.3,1.65973,1.54075,1.52406,0.2842,0.33943,0.21974,0.06125,2.51392,2.09504,2.0282,0.0005446,0.0005446,0.0005446
48,485.207,1.62392,1.48751,1.48749,0.30608,0.3193,0.23538,0.06679,2.50103,2.07439,2.04095,0.0005347,0.0005347,0.0005347
49,495.144,1.59713,1.51179,1.46382,0.29551,0.31839,0.21192,0.06041,2.57389,2.05125,2.10121,0.0005248,0.0005248,0.0005248
50,505.193,1.59317,1.46936,1.47727,0.30995,0.31656,0.20816,0.0578,2.54469,2.18486,2.09661,0.0005149,0.0005149,0.0005149
51,515.293,1.55718,1.42905,1.43846,0.27992,0.32022,0.19436,0.05058,2.60352,2.20362,2.14007,0.000505,0.000505,0.000505
52,525.116,1.59338,1.45765,1.46953,0.31479,0.33943,0.2267,0.06092,2.57791,2.09985,2.12775,0.0004951,0.0004951,0.0004951
53,534.857,1.58228,1.41666,1.45514,0.33223,0.33669,0.23725,0.06349,2.55261,2.15318,2.10186,0.0004852,0.0004852,0.0004852
54,544.619,1.55184,1.39632,1.44052,0.2954,0.30417,0.19188,0.05283,2.63474,2.13123,2.2244,0.0004753,0.0004753,0.0004753
55,554.784,1.59139,1.45276,1.44778,0.35488,0.34767,0.24729,0.07128,2.53951,2.0786,2.08724,0.0004654,0.0004654,0.0004654
56,564.87,1.55002,1.34393,1.43957,0.32251,0.31227,0.21369,0.05878,2.66298,2.11742,2.20561,0.0004555,0.0004555,0.0004555
57,575.456,1.52282,1.31416,1.41996,0.30168,0.2946,0.19713,0.05555,2.64403,2.17083,2.20369,0.0004456,0.0004456,0.0004456
58,585.587,1.51725,1.28337,1.41039,0.2969,0.30467,0.1986,0.05428,2.67085,2.17044,2.24592,0.0004357,0.0004357,0.0004357
59,595.872,1.51045,1.30747,1.41783,0.30706,0.32113,0.20495,0.05601,2.71427,2.18139,2.24219,0.0004258,0.0004258,0.0004258
60,605.924,1.50339,1.29306,1.39989,0.33953,0.3312,0.22099,0.06137,2.60349,2.20486,2.1638,0.0004159,0.0004159,0.0004159
61,615.93,1.51214,1.2868,1.4094,0.27134,0.30558,0.16707,0.04481,2.71925,2.36145,2.26552,0.000406,0.000406,0.000406
62,625.925,1.49088,1.20561,1.38733,0.34465,0.34675,0.23736,0.07005,2.59948,2.09165,2.19812,0.0003961,0.0003961,0.0003961
63,635.696,1.45833,1.19885,1.3677,0.28522,0.32662,0.20094,0.05647,2.70032,2.17862,2.27292,0.0003862,0.0003862,0.0003862
64,645.373,1.44666,1.16708,1.36436,0.26151,0.30009,0.18809,0.05078,2.76101,2.26673,2.32302,0.0003763,0.0003763,0.0003763
65,655.137,1.48887,1.2093,1.381,0.29101,0.32388,0.20584,0.05385,2.71841,2.28347,2.22481,0.0003664,0.0003664,0.0003664
66,664.997,1.43413,1.15648,1.35495,0.348,0.3376,0.2268,0.06186,2.74472,2.19669,2.37044,0.0003565,0.0003565,0.0003565
67,675.766,1.42042,1.15323,1.34384,0.33549,0.31473,0.21673,0.05943,2.74894,2.21119,2.37757,0.0003466,0.0003466,0.0003466
68,685.696,1.42349,1.13422,1.34417,0.39003,0.32388,0.23892,0.0723,2.65458,2.15079,2.24993,0.0003367,0.0003367,0.0003367
69,695.652,1.39407,1.08684,1.33035,0.37662,0.33852,0.24866,0.07037,2.69735,2.23362,2.33352,0.0003268,0.0003268,0.0003268
70,706.947,1.41143,1.08051,1.33863,0.31511,0.30101,0.1982,0.05325,2.748,2.18209,2.36191,0.0003169,0.0003169,0.0003169
71,719.138,1.39805,1.06539,1.31882,0.33494,0.36505,0.24191,0.06797,2.72893,2.10247,2.31473,0.000307,0.000307,0.000307
72,731.386,1.39149,1.0695,1.32777,0.32309,0.31565,0.19442,0.05059,2.80507,2.21672,2.43914,0.0002971,0.0002971,0.0002971
73,743.18,1.37227,1.03712,1.31038,0.31333,0.33273,0.22367,0.06417,2.70496,2.18227,2.32413,0.0002872,0.0002872,0.0002872
74,755.217,1.35685,1.02799,1.29803,0.27652,0.30467,0.17466,0.04974,2.72115,2.44774,2.29162,0.0002773,0.0002773,0.0002773
75,767.207,1.33112,0.9982,1.28194,0.3525,0.33028,0.2315,0.06813,2.71735,2.29158,2.34727,0.0002674,0.0002674,0.0002674
76,779.3,1.36384,0.99587,1.29801,0.32348,0.30924,0.21874,0.06587,2.73273,2.34032,2.35664,0.0002575,0.0002575,0.0002575
77,791.641,1.31759,0.98303,1.27722,0.32385,0.28454,0.19372,0.05425,2.82091,2.43191,2.39437,0.0002476,0.0002476,0.0002476
78,804.404,1.32804,0.96544,1.27935,0.36661,0.32022,0.23288,0.06839,2.75679,2.19623,2.40351,0.0002377,0.0002377,0.0002377
79,815.695,1.30214,0.96101,1.26297,0.31421,0.31839,0.21781,0.06254,2.77827,2.33519,2.40572,0.0002278,0.0002278,0.0002278
80,825.988,1.28687,0.91958,1.25941,0.34215,0.27905,0.21488,0.05611,2.85638,2.39559,2.46683,0.0002179,0.0002179,0.0002179
81,836.077,1.29176,0.90741,1.25303,0.35995,0.29946,0.22247,0.06833,2.71749,2.36436,2.37582,0.000208,0.000208,0.000208
82,846.378,1.26921,0.90327,1.25838,0.34338,0.33577,0.23376,0.06878,2.79536,2.24778,2.43015,0.0001981,0.0001981,0.0001981
83,856.199,1.23896,0.88726,1.2162,0.3801,0.31747,0.23159,0.07027,2.74212,2.26322,2.42327,0.0001882,0.0001882,0.0001882
84,866.316,1.26953,0.85702,1.24499,0.3103,0.32845,0.20924,0.06205,2.76266,2.37425,2.43604,0.0001783,0.0001783,0.0001783
85,875.95,1.26207,0.88049,1.23776,0.31953,0.32662,0.21579,0.06351,2.80679,2.36862,2.47234,0.0001684,0.0001684,0.0001684
86,886.214,1.2092,0.8515,1.21886,0.34848,0.32754,0.23347,0.06631,2.78891,2.35682,2.4519,0.0001585,0.0001585,0.0001585
87,896.142,1.23652,0.82631,1.21922,0.38073,0.30037,0.23011,0.0676,2.74116,2.46288,2.39531,0.0001486,0.0001486,0.0001486
88,906.158,1.22226,0.82584,1.21657,0.33116,0.31016,0.21513,0.05888,2.7986,2.42157,2.48924,0.0001387,0.0001387,0.0001387
89,916.224,1.20944,0.83181,1.20725,0.36336,0.29277,0.22536,0.06395,2.78678,2.48358,2.45946,0.0001288,0.0001288,0.0001288
90,926.403,1.18331,0.8023,1.20153,0.36768,0.31747,0.2202,0.06724,2.7574,2.47356,2.45323,0.0001189,0.0001189,0.0001189
91,977.804,1.17808,0.81147,1.19617,0.36725,0.33401,0.23453,0.0681,2.76361,2.38635,2.45065,0.000109,0.000109,0.000109
92,987.472,1.19798,0.80217,1.20717,0.36007,0.32845,0.22939,0.06541,2.74881,2.44045,2.46164,9.91e-05,9.91e-05,9.91e-05
93,997.501,1.17407,0.78461,1.21705,0.36674,0.32754,0.23708,0.06917,2.75348,2.43535,2.4535,8.92e-05,8.92e-05,8.92e-05
94,1007.39,1.18504,0.81221,1.21037,0.39011,0.29552,0.22543,0.06365,2.80933,2.46273,2.50276,7.93e-05,7.93e-05,7.93e-05
95,1017.81,1.15288,0.77757,1.17189,0.37496,0.32571,0.24073,0.0712,2.77161,2.41622,2.47358,6.94e-05,6.94e-05,6.94e-05
96,1028.16,1.12949,0.76534,1.16776,0.35545,0.33577,0.2298,0.06694,2.77433,2.47435,2.46044,5.95e-05,5.95e-05,5.95e-05
97,1038.63,1.13248,0.74499,1.16733,0.38383,0.32201,0.23705,0.07119,2.73072,2.47839,2.44752,4.96e-05,4.96e-05,4.96e-05
98,1048.58,1.14322,0.75218,1.17559,0.36764,0.34858,0.24209,0.07299,2.71974,2.46068,2.44185,3.97e-05,3.97e-05,3.97e-05
99,1058.93,1.09457,0.73249,1.13572,0.38389,0.34218,0.24506,0.07373,2.73105,2.44842,2.44461,2.98e-05,2.98e-05,2.98e-05
100,1068.63,1.16416,0.78216,1.20517,0.37929,0.32571,0.23279,0.07003,2.76931,2.47372,2.48532,1.99e-05,1.99e-05,1.99e-05
