epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0012,2.62987,3.28481,2.27152,0.04354,0.05855,0.01066,0.00295,3.07253,25.4182,2.93985,0.0675893,0.000327381,0.000327381
2,28.7098,2.30048,2.69419,2.0022,0.12162,0.14273,0.05276,0.01581,2.80396,3.53353,2.37127,0.0345827,0.000654173,0.000654173
3,43.1295,2.15818,2.49496,1.92505,0.10173,0.10156,0.03402,0.01007,2.93587,3.18197,2.44462,0.0015696,0.000974365,0.000974365
4,53.749,2.1588,2.44437,1.93025,0.06943,0.08783,0.03574,0.01178,2.50783,5.44666,2.0921,0.0009703,0.0009703,0.0009703
5,64.5771,2.11516,2.35014,1.8863,0.10837,0.10522,0.05792,0.01765,2.54325,3.99741,2.06445,0.0009604,0.0009604,0.0009604
6,75.2317,1.97242,2.26922,1.78551,0.10373,0.31016,0.07275,0.02428,2.39211,2.99811,1.96949,0.0009505,0.0009505,0.0009505
7,86.188,1.99077,2.2155,1.82458,0.18028,0.31228,0.12814,0.03588,2.47393,2.82735,2.02579,0.0009406,0.0009406,0.0009406
8,96.9376,1.92402,2.12665,1.75699,0.23004,0.30467,0.17286,0.05167,2.44557,2.42799,2.06396,0.0009307,0.0009307,0.0009307
9,108.186,1.91433,2.0603,1.74934,0.29975,0.31565,0.21322,0.06784,2.32701,2.26994,1.89766,0.0009208,0.0009208,0.0009208
10,118.66,1.85735,1.99156,1.70604,0.15987,0.27813,0.14051,0.04326,2.3419,2.68212,1.92129,0.0009109,0.0009109,0.0009109
11,129.218,1.81108,1.91584,1.67013,0.30603,0.27799,0.19264,0.05441,2.43496,2.27768,2.04187,0.000901,0.000901,0.000901
12,139.88,1.77511,1.87909,1.6483,0.29701,0.27996,0.18447,0.05355,2.46006,2.24551,1.99434,0.0008911,0.0008911,0.0008911
13,150.854,1.75314,1.82691,1.63014,0.28421,0.26807,0.18143,0.05788,2.50526,2.26553,2.06268,0.0008812,0.0008812,0.0008812
14,161.528,1.69206,1.72718,1.60072,0.30302,0.29826,0.20666,0.06188,2.51908,2.32119,2.0524,0.0008713,0.0008713,0.0008713
15,172.803,1.70071,1.68974,1.60378,0.30505,0.33333,0.2354,0.07154,2.42501,2.24362,1.98197,0.0008614,0.0008614,0.0008614
16,183.524,1.61322,1.61378,1.52695,0.29044,0.32754,0.20711,0.06573,2.41762,2.1734,2.023,0.0008515,0.0008515,0.0008515
17,194.169,1.58348,1.54091,1.5032,0.33071,0.32479,0.23349,0.07041,2.51266,2.19866,2.08332,0.0008416,0.0008416,0.0008416
18,204.555,1.57441,1.52221,1.49762,0.33663,0.31711,0.23309,0.07333,2.50807,2.18692,2.09899,0.0008317,0.0008317,0.0008317
19,215.435,1.55487,1.46094,1.50092,0.30818,0.34584,0.24146,0.07338,2.45019,2.13217,2.04371,0.0008218,0.0008218,0.0008218
20,226.046,1.52665,1.39534,1.46652,0.37137,0.30192,0.23733,0.06969,2.55418,2.06964,2.13456,0.0008119,0.0008119,0.0008119
21,236.707,1.48228,1.31509,1.42548,0.31879,0.28858,0.21501,0.06286,2.61233,2.30002,2.21795,0.000802,0.000802,0.000802
22,247.592,1.48274,1.2846,1.42468,0.29298,0.28911,0.19412,0.05524,2.61577,2.286,2.24764,0.0007921,0.0007921,0.0007921
23,258.423,1.45368,1.19721,1.39978,0.33428,0.30091,0.21288,0.06728,2.6061,2.29005,2.24188,0.0007822,0.0007822,0.0007822
24,269.177,1.41601,1.18121,1.38183,0.29343,0.32296,0.20936,0.0613,2.53538,2.26784,2.20557,0.0007723,0.0007723,0.0007723
25,280.121,1.3821,1.13387,1.35927,0.33703,0.30325,0.22773,0.06659,2.63499,2.25586,2.28108,0.0007624,0.0007624,0.0007624
26,290.629,1.3539,1.10188,1.33315,0.30469,0.27447,0.19839,0.05624,2.7018,2.31293,2.33677,0.0007525,0.0007525,0.0007525
27,301.492,1.36083,1.0727,1.33194,0.36041,0.30192,0.22066,0.06663,2.64953,2.41947,2.27356,0.0007426,0.0007426,0.0007426
28,312.101,1.31004,1.00441,1.29804,0.3914,0.28637,0.23303,0.07047,2.61547,2.17599,2.2866,0.0007327,0.0007327,0.0007327
29,322.383,1.33894,1.02433,1.31082,0.28175,0.33852,0.21537,0.0609,2.6459,2.26319,2.32779,0.0007228,0.0007228,0.0007228
30,332.911,1.29606,0.9494,1.2882,0.37467,0.30558,0.23996,0.07818,2.70284,2.25605,2.33497,0.0007129,0.0007129,0.0007129
31,344.332,1.27232,0.93166,1.26636,0.33383,0.32022,0.22837,0.06939,2.69495,2.30645,2.37913,0.000703,0.000703,0.000703
32,354.969,1.22816,0.89389,1.25226,0.36243,0.2763,0.21428,0.06679,2.73479,2.42487,2.41122,0.0006931,0.0006931,0.0006931
33,366.1,1.22708,0.874,1.24904,0.30575,0.30663,0.18806,0.05606,2.68148,2.30543,2.39259,0.0006832,0.0006832,0.0006832
34,376.998,1.2036,0.87782,1.24379,0.30742,0.28911,0.1992,0.06127,2.78444,2.44985,2.48933,0.0006733,0.0006733,0.0006733
35,387.742,1.17934,0.83082,1.21953,0.34888,0.3193,0.22829,0.0709,2.62663,2.38101,2.3506,0.0006634,0.0006634,0.0006634
36,398.418,1.18249,0.82089,1.21701,0.3277,0.30741,0.20263,0.05439,2.84114,2.42564,2.58103,0.0006535,0.0006535,0.0006535
37,409.013,1.2039,0.85586,1.23189,0.34762,0.31016,0.20605,0.06001,2.71108,2.37345,2.41256,0.0006436,0.0006436,0.0006436
38,419.544,1.18709,0.82233,1.20832,0.35289,0.33577,0.24293,0.07773,2.68332,2.38909,2.37103,0.0006337,0.0006337,0.0006337
39,429.795,1.12966,0.73314,1.17886,0.32885,0.26624,0.19279,0.05539,2.82397,2.45148,2.63072,0.0006238,0.0006238,0.0006238
40,440.536,1.12093,0.72021,1.17804,0.38276,0.28454,0.22351,0.06807,2.7497,2.52989,2.45414,0.0006139,0.0006139,0.0006139
41,451.533,1.10403,0.7087,1.16774,0.28715,0.28088,0.19744,0.05646,2.86664,2.52211,2.67677,0.000604,0.000604,0.000604
42,462.36,1.09891,0.70581,1.15748,0.3345,0.31593,0.20562,0.05638,2.81101,2.50673,2.53627,0.0005941,0.0005941,0.0005941
43,472.682,1.08472,0.68154,1.15324,0.34908,0.30273,0.22983,0.06566,2.81663,2.58388,2.56541,0.0005842,0.0005842,0.0005842
44,483.613,1.07924,0.66759,1.14661,0.38542,0.28362,0.22704,0.06389,2.8159,2.47565,2.5848,0.0005743,0.0005743,0.0005743
45,494.29,1.05827,0.66157,1.14047,0.36394,0.28362,0.21746,0.06656,2.77938,2.89345,2.54427,0.0005644,0.0005644,0.0005644
46,505.378,1.06276,0.66445,1.13767,0.33404,0.26715,0.18834,0.06091,2.82515,2.54634,2.62006,0.0005545,0.0005545,0.0005545
47,515.934,1.04309,0.64151,1.12627,0.27607,0.24428,0.1614,0.04937,2.9142,2.82908,2.66706,0.0005446,0.0005446,0.0005446
48,527.248,1.01074,0.60055,1.11124,0.31415,0.23605,0.18249,0.05818,2.79798,2.82606,2.59382,0.0005347,0.0005347,0.0005347
49,537.657,0.98371,0.62852,1.07914,0.32056,0.29003,0.21147,0.06166,2.84165,2.57247,2.684,0.0005248,0.0005248,0.0005248
50,548.658,0.99317,0.60477,1.09689,0.31045,0.28637,0.20818,0.05903,2.84557,2.71934,2.67366,0.0005149,0.0005149,0.0005149
51,559.067,0.97532,0.59124,1.07628,0.29062,0.26807,0.17967,0.05481,2.93972,2.84627,2.74089,0.000505,0.000505,0.000505
52,570.464,0.99967,0.61157,1.10057,0.31576,0.27996,0.19886,0.06436,2.85413,2.58915,2.71984,0.0004951,0.0004951,0.0004951
53,581.005,0.98054,0.57659,1.08708,0.30955,0.2896,0.19318,0.05737,2.951,2.74087,2.75094,0.0004852,0.0004852,0.0004852
54,591.783,0.97525,0.57508,1.08496,0.31569,0.27356,0.19945,0.05726,2.94647,2.7402,2.78189,0.0004753,0.0004753,0.0004753
55,601.953,0.97794,0.57216,1.07554,0.31575,0.28362,0.19953,0.05655,2.93124,2.80612,2.80751,0.0004654,0.0004654,0.0004654
56,612.567,0.94501,0.54504,1.06172,0.30052,0.29167,0.20082,0.06218,2.84192,2.70649,2.64904,0.0004555,0.0004555,0.0004555
57,622.945,0.92071,0.53165,1.05445,0.3116,0.28728,0.1968,0.05908,2.91452,2.64552,2.76671,0.0004456,0.0004456,0.0004456
58,633.998,0.93099,0.54069,1.05667,0.32607,0.27081,0.21531,0.06783,2.8732,2.9594,2.64667,0.0004357,0.0004357,0.0004357
59,644.618,0.9365,0.5415,1.06395,0.37899,0.24958,0.20995,0.05871,2.89815,2.82205,2.74415,0.0004258,0.0004258,0.0004258
60,655.846,0.89999,0.52349,1.04144,0.30673,0.24154,0.17168,0.05246,2.91829,3.15431,2.73027,0.0004159,0.0004159,0.0004159
61,666.355,0.89439,0.54512,1.0421,0.35708,0.25984,0.20573,0.05845,2.87464,2.85645,2.759,0.000406,0.000406,0.000406
62,677.334,0.89373,0.5098,1.03579,0.38281,0.28271,0.22108,0.06708,2.81408,2.82714,2.63484,0.0003961,0.0003961,0.0003961
63,687.766,0.86924,0.50583,1.03179,0.33297,0.27722,0.20395,0.05929,2.83302,3.06442,2.53205,0.0003862,0.0003862,0.0003862
64,699.292,0.85545,0.48955,1.02566,0.35082,0.26353,0.21079,0.06774,2.78714,2.78233,2.57947,0.0003763,0.0003763,0.0003763
65,710.045,0.86734,0.52098,1.01936,0.37332,0.24886,0.21326,0.07085,2.81723,2.97795,2.59877,0.0003664,0.0003664,0.0003664
66,720.787,0.82444,0.49019,1.01086,0.31335,0.23631,0.1843,0.05799,2.96973,3.26971,2.81465,0.0003565,0.0003565,0.0003565
67,731.355,0.82065,0.47082,0.99979,0.36959,0.26258,0.20619,0.06874,2.73968,3.12822,2.50106,0.0003466,0.0003466,0.0003466
68,742.892,0.80174,0.46642,0.98928,0.36213,0.27114,0.21677,0.07389,2.77795,3.05696,2.62204,0.0003367,0.0003367,0.0003367
69,753.48,0.77729,0.45542,0.99282,0.3639,0.24966,0.22254,0.07491,2.75684,3.32459,2.53727,0.0003268,0.0003268,0.0003268
70,764.663,0.77932,0.45364,0.98843,0.31784,0.2882,0.2074,0.06992,2.78369,3.0387,2.59694,0.0003169,0.0003169,0.0003169
71,775.295,0.77952,0.44751,0.98676,0.33913,0.23696,0.18918,0.06317,2.88165,3.27195,2.74976,0.000307,0.000307,0.000307
72,786.144,0.76931,0.44584,0.97979,0.40035,0.2763,0.23111,0.07549,2.72976,3.25826,2.48726,0.0002971,0.0002971,0.0002971
73,796.399,0.74681,0.45991,0.96999,0.32545,0.28088,0.21707,0.07369,2.74945,3.17901,2.55756,0.0002872,0.0002872,0.0002872
74,806.808,0.73545,0.44028,0.96393,0.40843,0.25069,0.23684,0.07816,2.75699,3.43578,2.59347,0.0002773,0.0002773,0.0002773
75,817.331,0.70801,0.4215,0.95106,0.41424,0.26624,0.24465,0.08562,2.72657,3.2896,2.54742,0.0002674,0.0002674,0.0002674
76,828.291,0.75054,0.42554,0.97827,0.37851,0.26077,0.2279,0.07991,2.75408,3.27991,2.59602,0.0002575,0.0002575,0.0002575
77,838.939,0.69227,0.41638,0.95184,0.39106,0.25709,0.20741,0.07291,2.67573,3.42045,2.40226,0.0002476,0.0002476,0.0002476
78,849.995,0.69556,0.41066,0.94523,0.36108,0.23879,0.20018,0.0688,2.74698,3.38126,2.49583,0.0002377,0.0002377,0.0002377
79,860.595,0.67414,0.40463,0.94326,0.40264,0.26532,0.22156,0.08051,2.69866,3.35414,2.48229,0.0002278,0.0002278,0.0002278
80,871.584,0.6789,0.40347,0.94225,0.39349,0.22781,0.22548,0.07983,2.70838,3.49078,2.49791,0.0002179,0.0002179,0.0002179
81,882.254,0.65991,0.38752,0.93084,0.34305,0.20974,0.19457,0.07129,2.79988,3.70799,2.61866,0.000208,0.000208,0.000208
82,893.23,0.636,0.38263,0.92115,0.40459,0.24428,0.22507,0.08133,2.73013,3.55956,2.58814,0.0001981,0.0001981,0.0001981
83,904.187,0.64254,0.38045,0.91442,0.36465,0.2384,0.21357,0.07825,2.70566,3.40124,2.47796,0.0001882,0.0001882,0.0001882
84,914.925,0.63589,0.38116,0.92309,0.36797,0.24611,0.20801,0.07354,2.73419,3.50616,2.52765,0.0001783,0.0001783,0.0001783
85,925.757,0.65167,0.38953,0.93288,0.39193,0.2763,0.23891,0.08454,2.68768,3.31623,2.48913,0.0001684,0.0001684,0.0001684
86,936.605,0.61342,0.37025,0.91841,0.41071,0.23422,0.22965,0.08185,2.7147,3.58326,2.53722,0.0001585,0.0001585,0.0001585
87,947.406,0.61642,0.37464,0.91452,0.40597,0.2301,0.20769,0.07909,2.70464,3.70602,2.48097,0.0001486,0.0001486,0.0001486
88,958.149,0.59672,0.3633,0.90769,0.39957,0.23563,0.22733,0.08389,2.71182,3.56423,2.48376,0.0001387,0.0001387,0.0001387
89,969.011,0.58958,0.38128,0.90492,0.42776,0.22415,0.23007,0.08987,2.70452,3.63229,2.46071,0.0001288,0.0001288,0.0001288
90,979.491,0.58692,0.35804,0.90628,0.40703,0.20677,0.2097,0.07989,2.70793,3.77713,2.4643,0.0001189,0.0001189,0.0001189
91,1033.84,0.57804,0.3585,0.8975,0.41447,0.23696,0.2271,0.08327,2.68441,3.52419,2.46995,0.000109,0.000109,0.000109
92,1044.09,0.57244,0.35177,0.90284,0.39432,0.24611,0.22384,0.08564,2.6855,3.42965,2.4465,9.91e-05,9.91e-05,9.91e-05
93,1055.02,0.58774,0.36989,0.91368,0.4001,0.22873,0.21708,0.08301,2.71832,3.53408,2.48882,8.92e-05,8.92e-05,8.92e-05
94,1065.4,0.56659,0.35819,0.89678,0.3977,0.24611,0.2274,0.08324,2.68856,3.42314,2.47491,7.93e-05,7.93e-05,7.93e-05
95,1076.15,0.56375,0.35813,0.88725,0.38993,0.24886,0.22067,0.0825,2.69274,3.45121,2.4806,6.94e-05,6.94e-05,6.94e-05
96,1086.76,0.55297,0.35694,0.88935,0.37903,0.22873,0.20971,0.07849,2.693,3.463,2.47763,5.95e-05,5.95e-05,5.95e-05
97,1097.71,0.54489,0.33672,0.88879,0.39741,0.23513,0.21432,0.07967,2.69374,3.52488,2.48495,4.96e-05,4.96e-05,4.96e-05
98,1107.9,0.54379,0.33694,0.8904,0.39831,0.23422,0.2231,0.08314,2.6858,3.51913,2.52485,3.97e-05,3.97e-05,3.97e-05
99,1118.67,0.51654,0.33067,0.86682,0.39872,0.23605,0.22201,0.0824,2.70043,3.53289,2.52154,2.98e-05,2.98e-05,2.98e-05
100,1129.11,0.54979,0.34184,0.88197,0.39289,0.23788,0.22066,0.08174,2.69304,3.50123,2.50474,1.99e-05,1.99e-05,1.99e-05
