epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.647,2.48737,2.94114,2.35658,0.16187,0.19285,0.10396,0.02477,2.8317,3.80726,2.51905,0.0670408,0.000332921,0.000332921
2,379.64,2.21711,2.14585,2.15062,0.18008,0.1636,0.0929,0.02279,2.96708,3.23052,2.59797,0.0340375,0.000662956,0.000662956
3,563.63,2.11675,1.81768,2.05298,0.2224,0.20152,0.11805,0.03011,2.90668,3.09524,2.50925,0.00103095,0.000989692,0.000989692
