epoch,train_loss,train_iou,val_loss,val_iou
1,1.4946158232688904,0.367833800598979,0.7683068084716796,0.514170942902565
2,1.3564440455436706,0.4966074697971344,0.7290516459941864,0.553260270357132
3,1.1989514322280883,0.566826967716217,0.667544754743576,0.5613451588153839
4,1.0267323191165925,0.6177312794923783,0.5980108368396759,0.6446784490346908
5,0.8675378704071045,0.6611518238782883,0.5161259531974792,0.6494149327278137
6,0.7274400434494018,0.6924848260879517,0.43576384902000426,0.6555077695846557
7,0.6105926864147186,0.7192065498828888,0.36878069162368776,0.6806395125389099
8,0.5248735852241516,0.7362844007015228,0.3173586714267731,0.6864403462409974
9,0.4624960296154022,0.747963623046875,0.2768958055973053,0.691780047416687
10,0.4088972488641739,0.764538816690445,0.2536518490314484,0.6902802073955536
11,0.3710576030015945,0.7733438320159912,0.23889171481132507,0.6914311373233795
12,0.34015404045581815,0.7846218183040619,0.227983638048172,0.6925026988983154
13,0.3210729694366455,0.7894068055152893,0.21338436961174012,0.6985760223865509
14,0.297635220348835,0.8013403539657593,0.2101711177825928,0.6878096115589142
15,0.28081563651561736,0.8090086250305176,0.20826298356056214,0.6866423189640045
16,0.27903747034072873,0.8050647592544555,0.20124193549156189,0.6894710969924926
17,0.2688219369053841,0.8093772912025452,0.19536908745765685,0.6913654983043671
18,0.2579459702372551,0.8157383563518524,0.19217920541763306,0.6958010101318359
19,0.2520335210561752,0.8173810455799103,0.19202147603034972,0.6889996886253357
20,0.24241808670759202,0.8239081718921661,0.1929046642780304,0.6889425599575043
21,0.23641540724039078,0.8270189123153686,0.18576783895492555,0.6984543478488923
22,0.23171345180273056,0.8290346853733063,0.19207494258880614,0.6878180050849915
23,0.22926682728528977,0.8305265119075775,0.18794469714164733,0.6933999121189117
24,0.2263408185839653,0.8312667484283447,0.18641910910606385,0.6915001034736633
25,0.22036822220683097,0.8359477503299713,0.18817998647689818,0.6919635164737702
26,0.21108948481082918,0.8431997709274291,0.18195906162261963,0.7004518926143646
27,0.20682413429021834,0.8466152377128601,0.1780166184902191,0.7050818288326264
28,0.20306062746047973,0.8502975201606751,0.18156468152999877,0.6994525635242462
29,0.2014445839524269,0.8510236885547638,0.1765786075592041,0.7059951508045197
30,0.1982853639125824,0.8535060052871704,0.17924801468849183,0.7024226522445679
31,0.1963427521288395,0.8550731287002563,0.18294371128082276,0.6973363018035889
32,0.1972054018974304,0.8540776338577271,0.17758150935173034,0.7053989863395691
33,0.19553513047099114,0.8556806614398956,0.1815066635608673,0.6997707676887512
34,0.194364578127861,0.8562985441684723,0.1793415927886963,0.7019183814525605
35,0.1915217595398426,0.8588320479393006,0.1787460243701935,0.7038074088096619
36,0.19296192866563797,0.8577810180187225,0.17850383400917053,0.7035398697853088
37,0.19278572130203248,0.858331847190857,0.17713483929634094,0.7050523793697357
38,0.1902950049638748,0.8601144459247589,0.17804877758026122,0.7042215096950531
39,0.18930549621582032,0.8607221782207489,0.17831140041351318,0.7036480796337128
