epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,622.694,0.97087,1.30238,1.47237,0.33759,0.29277,0.22023,0.05819,1.7157,2.21394,2.31499,0.0005941,0.0005941,0.0005941
43,636.977,0.95405,1.32204,1.46434,0.29439,0.31839,0.20557,0.05941,1.64232,2.16677,2.19326,0.0005842,0.0005842,0.0005842
44,651.829,0.94237,1.26219,1.44777,0.33803,0.33303,0.21986,0.06032,1.69285,2.12941,2.27233,0.0005743,0.0005743,0.0005743
45,666.478,0.93323,1.24222,1.43721,0.34207,0.32965,0.24271,0.06993,1.61698,2.16825,2.17608,0.0005644,0.0005644,0.0005644
46,680.203,0.93575,1.23245,1.45108,0.3605,0.29186,0.22894,0.06107,1.67571,2.19196,2.26769,0.0005545,0.0005545,0.0005545
47,695.408,0.92754,1.18808,1.44029,0.30687,0.32571,0.22355,0.06791,1.65027,2.19885,2.22359,0.0005446,0.0005446,0.0005446
48,710.62,0.90189,1.12401,1.4006,0.31874,0.3129,0.2226,0.06039,1.68134,2.21967,2.29599,0.0005347,0.0005347,0.0005347
49,724.502,0.88509,1.14191,1.3742,0.32613,0.30284,0.22445,0.06323,1.73241,2.31106,2.36373,0.0005248,0.0005248,0.0005248
50,739.445,0.88911,1.09977,1.39073,0.31974,0.33486,0.23159,0.06692,1.6883,2.18514,2.30427,0.0005149,0.0005149,0.0005149
51,754.571,0.86328,1.07154,1.35708,0.34797,0.27831,0.22722,0.06433,1.72467,2.27861,2.34699,0.000505,0.000505,0.000505
52,768.94,0.88654,1.10301,1.39026,0.36189,0.30833,0.25031,0.06859,1.73577,2.2013,2.37457,0.0004951,0.0004951,0.0004951
53,784.288,0.86118,1.02945,1.35854,0.30538,0.33394,0.219,0.06367,1.69677,2.25508,2.35168,0.0004852,0.0004852,0.0004852
54,799.227,0.86654,1.03263,1.36094,0.33309,0.32937,0.24346,0.07249,1.68205,2.33322,2.2928,0.0004753,0.0004753,0.0004753
55,813.625,0.87922,1.04595,1.36541,0.29318,0.2882,0.19465,0.05944,1.72624,2.26686,2.36354,0.0004654,0.0004654,0.0004654
56,828.216,0.83785,0.97739,1.33187,0.2788,0.3129,0.20874,0.05981,1.769,2.43407,2.44997,0.0004555,0.0004555,0.0004555
57,843.071,0.83991,0.95768,1.3343,0.37121,0.29369,0.23772,0.0637,1.73005,2.20568,2.41796,0.0004456,0.0004456,0.0004456
58,857.775,0.8235,0.94005,1.32033,0.3222,0.31656,0.23585,0.06886,1.73521,2.25266,2.40228,0.0004357,0.0004357,0.0004357
59,872.482,0.83243,0.95291,1.33236,0.31665,0.29932,0.19998,0.05588,1.74,2.37561,2.40258,0.0004258,0.0004258,0.0004258
60,887.564,0.81846,0.90837,1.31084,0.34062,0.31656,0.21828,0.06011,1.7736,2.2829,2.44623,0.0004159,0.0004159,0.0004159
61,902.429,0.81872,0.95181,1.31508,0.32502,0.30284,0.21862,0.06467,1.78071,2.36963,2.48315,0.000406,0.000406,0.000406
62,916.449,0.80944,0.88922,1.29785,0.35425,0.34401,0.25912,0.07378,1.76228,2.25329,2.49109,0.0003961,0.0003961,0.0003961
63,931.349,0.78683,0.86089,1.27539,0.36723,0.3312,0.25164,0.07519,1.73558,2.23443,2.41978,0.0003862,0.0003862,0.0003862
64,946.458,0.77885,0.8381,1.26451,0.29426,0.27996,0.19354,0.05735,1.80338,2.44474,2.57165,0.0003763,0.0003763,0.0003763
65,960.832,0.79768,0.84318,1.28336,0.33063,0.31839,0.23322,0.07263,1.71903,2.40687,2.38652,0.0003664,0.0003664,0.0003664
66,976.064,0.76921,0.81928,1.26149,0.31475,0.31199,0.22129,0.0667,1.75819,2.40663,2.4889,0.0003565,0.0003565,0.0003565
67,990.939,0.75841,0.83695,1.23751,0.32786,0.32113,0.20854,0.06366,1.77137,2.42798,2.55155,0.0003466,0.0003466,0.0003466
68,1004.86,0.76129,0.79721,1.25129,0.36944,0.32571,0.23242,0.07383,1.71069,2.38254,2.44116,0.0003367,0.0003367,0.0003367
69,1019.49,0.74211,0.7732,1.23706,0.38436,0.3193,0.25453,0.07863,1.73221,2.44072,2.47543,0.0003268,0.0003268,0.0003268
70,1035.1,0.73982,0.75902,1.23721,0.35243,0.31656,0.24086,0.07529,1.7105,2.43987,2.44673,0.0003169,0.0003169,0.0003169
71,1049.52,0.73018,0.75002,1.21632,0.3577,0.30101,0.24976,0.0751,1.76716,2.42164,2.49006,0.000307,0.000307,0.000307
72,1064.32,0.72749,0.75604,1.22091,0.35262,0.32754,0.24919,0.0816,1.67837,2.5135,2.36825,0.0002971,0.0002971,0.0002971
73,1079.07,0.71763,0.72959,1.20724,0.36137,0.30375,0.24054,0.07943,1.68266,2.5888,2.40654,0.0002872,0.0002872,0.0002872
74,1093.58,0.70374,0.70787,1.19711,0.35711,0.32754,0.24248,0.0785,1.6728,2.54739,2.39419,0.0002773,0.0002773,0.0002773
75,1108.22,0.68249,0.7012,1.17754,0.33573,0.29003,0.23591,0.07839,1.70441,2.67271,2.44359,0.0002674,0.0002674,0.0002674
76,1123.05,0.7099,0.71492,1.1933,0.33912,0.31107,0.23535,0.07536,1.70525,2.60957,2.42301,0.0002575,0.0002575,0.0002575
77,1137.81,0.67407,0.68174,1.16809,0.37664,0.32937,0.26171,0.08799,1.66752,2.5448,2.43122,0.0002476,0.0002476,0.0002476
78,1152.14,0.66935,0.66195,1.16036,0.36464,0.32662,0.25526,0.08667,1.68576,2.59746,2.45709,0.0002377,0.0002377,0.0002377
79,1166.97,0.66637,0.67631,1.15791,0.36481,0.32754,0.2522,0.0821,1.70024,2.6118,2.45184,0.0002278,0.0002278,0.0002278
80,1181.98,0.65042,0.64463,1.14475,0.35171,0.32754,0.25256,0.08419,1.71589,2.76095,2.45704,0.0002179,0.0002179,0.0002179
81,1196.22,0.64065,0.62031,1.13447,0.40146,0.29552,0.24729,0.07812,1.73281,2.56872,2.53836,0.000208,0.000208,0.000208
82,1211.02,0.62841,0.63172,1.13546,0.38749,0.31314,0.26369,0.08668,1.69206,2.6535,2.46897,0.0001981,0.0001981,0.0001981
83,1226.42,0.62012,0.60601,1.11256,0.39689,0.34499,0.27459,0.09566,1.62315,2.58808,2.41663,0.0001882,0.0001882,0.0001882
84,1240.66,0.63985,0.59483,1.14092,0.3693,0.32205,0.24748,0.0845,1.67134,2.73659,2.44576,0.0001783,0.0001783,0.0001783
85,1255.51,0.61562,0.61814,1.11675,0.36799,0.34218,0.26787,0.08876,1.67723,2.60715,2.46286,0.0001684,0.0001684,0.0001684
86,1270.28,0.60143,0.58208,1.10526,0.34124,0.32022,0.24066,0.0843,1.6708,2.77741,2.46102,0.0001585,0.0001585,0.0001585
87,1284.27,0.60085,0.58034,1.09421,0.383,0.32479,0.26131,0.08796,1.67168,2.69153,2.49321,0.0001486,0.0001486,0.0001486
88,1299.28,0.58483,0.57467,1.09043,0.38807,0.33028,0.26708,0.09438,1.63411,2.6714,2.43044,0.0001387,0.0001387,0.0001387
89,1314.44,0.59726,0.57049,1.09868,0.37022,0.30924,0.24623,0.08413,1.68991,2.79979,2.55095,0.0001288,0.0001288,0.0001288
90,1328.47,0.58652,0.55979,1.09906,0.35708,0.30558,0.23905,0.08553,1.66927,2.90122,2.48203,0.0001189,0.0001189,0.0001189
