epoch,train_loss,train_iou,val_loss,val_iou
1,0.012872863061726093,0.5297888238132,0.008392497058957815,0.5924084669351578
2,0.007159440377727151,0.6027648622989654,0.007912542289122939,0.594880376458168
3,0.0066167429331690075,0.6238868919610977,0.007653570617549121,0.624105863571167
4,0.006170750903896988,0.6433605278730392,0.006778465551324189,0.6454297947883606
5,0.0059799780575558546,0.6524335374832153,0.00708428914193064,0.6225034463405609
6,0.005710501119494438,0.663552920460701,0.007522355867549777,0.6128561729192734
7,0.005524737622588873,0.6731087460517883,0.0068863945407792925,0.6252465766668319
8,0.0055013790894299745,0.6743094989061356,0.006587345101870597,0.6565712285041809
9,0.005320939171127975,0.6824061869382858,0.006849052486941219,0.645394606590271
10,0.005148182313889265,0.6908827526569367,0.007227671323344112,0.6166794466972351
11,0.005012368170544505,0.6982128603458404,0.006639090552926064,0.666886203289032
12,0.004872338405810296,0.7056852638721466,0.006914345547556877,0.6558939397335053
13,0.004889820822514593,0.7047219367027283,0.007026758324354887,0.6631545627117157
14,0.004780705464072526,0.7136882653236389,0.006812832383438945,0.6456021106243134
15,0.004297127704136074,0.7368861010074615,0.0065733074862509965,0.6772269856929779
16,0.00411738561373204,0.7475673859119415,0.006938426592387259,0.6732073712348938
17,0.0040394251877442005,0.7487220492362976,0.007314828997477889,0.656475396156311
18,0.003910855523310602,0.7563580033779145,0.007256728010252118,0.6676166474819183
19,0.003864096961915493,0.7589121608734131,0.007751444592140615,0.6471047985553742
20,0.00378920191898942,0.762503146648407,0.007126464820466936,0.6690304517745972
21,0.0037744065723381934,0.7650602385997772,0.007514856229536235,0.6691551458835602
22,0.00359679046086967,0.7767495419979096,0.007485655578784644,0.6669515395164489
23,0.00348778919596225,0.781906040430069,0.007402272466570139,0.6755227947235107
24,0.0034512833589687942,0.7835412945747375,0.00784154802095145,0.667983990907669
25,0.00339461309555918,0.7867363016605378,0.007626715255901218,0.6658943581581116
26,0.0034353046268224717,0.7841494872570037,0.007804871033877134,0.6715411913394927
27,0.003378064577933401,0.7874204201698303,0.007856817888095976,0.6650169944763183
28,0.0032801439887844026,0.7936202623844146,0.007962489859201014,0.6650510966777802
29,0.003254867833573371,0.7927857916355133,0.007925511808134616,0.6701876854896546
30,0.0032409127969294784,0.7954230890274048,0.008108041239902377,0.6667673826217652
31,0.003228287507314235,0.7970275528430939,0.007890753876417876,0.6700685775279999
32,0.0032649782821536064,0.7962495474815369,0.008080598181113601,0.6643278634548188
33,0.0032295919810421763,0.7973286697864532,0.007913836920633912,0.6680742061138153
